job_id,company_id,title,location,salary_min,salary_max,employment_type,description,posted_date,is_active
12,1021,Bench Store Manager,"Portland, OR",,,Full-time,"At DICK’S Sporting Goods, we believe in how positively sports can change lives. On our team, everyone plays a critical role in creating confidence and excitement by personally equipping all athletes to achieve their dreams. We are committed to creating an inclusive and diverse workforce, reflecting the communities we serve.If you are ready to make a difference as part of the world’s greatest sports team, apply to join our team today!
OVERVIEW:
DICK’S Sporting Goods is seeking a passionate, peopl",2024-04-18,true
13,411,"Field Office ISSM - Open Rank-RS-Albuquerque, NM","Albuquerque, NM",,,Full-time,"Overview

The Georgia Tech Research Institute (GTRI) is the nonprofit, applied research division of the Georgia Institute of Technology (Georgia Tech). Founded in 1934 as the Engineering Experiment Station, GTRI has grown to more than 2,900 employees, supporting eight laboratories in over 20 locations around the country and performing more than $940 million of problem-solving research annually for government and industry. GTRI's renowned researchers combine science, engineering, economics, polic",2024-04-05,true
14,411,"Field Office ISSM - Open Rank-RS-Albuquerque, NM","Albuquerque, NM",,,Full-time,"Overview

The Georgia Tech Research Institute (GTRI) is the nonprofit, applied research division of the Georgia Institute of Technology (Georgia Tech). Founded in 1934 as the Engineering Experiment Station, GTRI has grown to more than 2,900 employees, supporting eight laboratories in over 20 locations around the country and performing more than $940 million of problem-solving research annually for government and industry. GTRI's renowned researchers combine science, engineering, economics, polic",2024-04-05,true
15,884,Senior Staffing Specialist,"Sedalia, MO",,,Full-time,"For nearly a century, Duke has put people first with the goal of being an employer of choice and a good neighbor in each of our communities. Our Purpose is to Nourish Our World and an important way we strive to do so is to create a work environment that encourages each individual to find their passion and grow to their full potential. As a family-owned business we take a long-term view, providing stable employment in a team-based environment; training, feedback & development; and opportunities t",2024-04-19,true
16,1389,Flight Software Engineer,"Webster, TX",140000.0,170000.0,Full-time,"Must Haves:10-15 years of experience with C++ design and development in an embedded software environmentExperience with full life cycle software development (Research, gather requirements, write code, & test.)Experience working with C++ on a Linux OSExperience with project work (aka designing from scratch, not just maintaining/upgrading) Plusses:Experience with spaceflight (manned or unmanned) or other safety critical systems like airplanes, helicopters, rockets, submarines, military tanks, or o",2024-04-18,true
17,96,"Senior Director, Clinical Pharmacology & Quantitative Pharmacology (CPQP)- ADC","Gaithersburg, MD",,,Full-time,"Senior Director, Clinical Pharmacology & Quantitative Pharmacology (CPQP) - ADC

Introduction to role:

Are you ready to make a meaningful impact on patients' lives? We are seeking a Senior Director for our Clinical Pharmacology & Quantitative Pharmacology (CPQP) team within the Biopharmaceuticals R&D division. This role is a unique blend of line management and project accountabilities, with the opportunity to lead scientific, strategic, and improvement initiatives at various levels. You will be",2024-04-19,true
18,61,Staff Software Engineer (AHT),"Los Angeles, California, United States",161000.0,241400.0,Full-time,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to ",2024-04-19,true
19,2325,Deputy City Manager - Chief Financial Officer,"Tempe, AZ",205398.0,274206.0,Full-time,"DEPUTY CITY MANAGER – CHIEF FINANCIAL OFFICER This recruitment is open until the position is filled. First review of applications will occur on Friday, May 3, 2024. Salary Range: $205,398 - $274,206 Annual The City of Tempe offers a comprehensive benefits package including:· 13 Paid Holidays, 1 Personal Day, 8 hours Winter Holiday Leave· Vacation Accrual; starts at 9.33 hours/month· Sick Leave Accrual; 8 hours/month· Medical, Dental and Vision Benefits· Wellness Program Discount on health premiu",2024-04-18,true
20,2670,Account Coordinator,"Boston, MA",45000.0,55000.0,Full-time,"The Account Coordinator (AC) is a central player in the BG Strategies practice at the Belfort Group. They will be responsible for assisting with all aspects of account work within the BG Strategies Group, which provides comprehensive and trusted communications solutions to businesses that want to grow their brand, overcome a crisis, or secure stakeholder support. By blending innovative media outreach and on-the-ground community engagement with industry-leading digital tactics, the BG Strategies ",2024-04-19,true
21,1848,Sr. Electrical Engineer,"Richmond, KY",,,Full-time,"SENIOR ELECTRICAL ENGINEER  Completes a wide variety of difficult engineering assignments, applying electrical engineering techniques and analyses within this discipline. The Engineer at this level is a fully qualified professional, proficient in the utilization of most engineering theories and practices. Some assignments involve CAE (computer aided engineering)/CAD (computer aided design) applications. Willingness to travel or relocate to supplier, client, or construction site locations, is exp",2024-04-19,true
22,2878,Financial Reporting Senior Specialist,"Philadelphia, PA",77000.0,85000.0,Full-time,"SALARY RANGE: High $70,000s to Mid $80,000s (position level & salary commensurate with education & experience)LOCATION: FinanceCLOSING DATE: When position is filledAREAS OF CONSIDERATION: All sources
The Delaware Valley Regional Planning Commission (DVRPC) is the Philadelphia region’s Metropolitan Planning Organization. DVRPC is a place to work, learn, and create a career in a professional and stimulating environment that values diversity, innovation, and bringing your best self to work. If your",2024-04-18,true
23,464,Decedent Affairs Coordinator,"Atlanta, GA",,,Full-time,"Description

JOB DESCRIPTION:The Decedent Affairs Coordinator serves as a liaison between the patient's family, Emory Healthcare departments and external agencies after a patient passes away.This position is responsible for verifying the death certificate, coordinating with the morgue, maintaining the decedent's belongings, coordinating with the funeral home, and other activities to support the family and clinical team.Confirm accurate transcribing of patient demographics, ensure physician compl",2024-04-19,true
24,1028,Senior Business Application Developer,"Catonsville, MD",,,Full-time,"Division of Information Technology
Business Systems Group within the University's Division of Information Technology supports the enterprise solutions of the university, including the Student Administration, Finance, Human Resources, Data Warehouse, Document Imaging, Electronic Signatures and Request Tracker (RT) Ticket systems. BSG is responsible for development of new and improved campus business practices and the support of core enterprise solutions that are critical to the University’s strat",2024-04-11,true
25,1582,Healthcare Call Center,"Cary, NC",,,Full-time,"Aston Carter has an EXCITING new opportunity, in Morrisville, NC, to become a Patient Experience Specialist at a company that has been established for over 20 years. This company strives to provide advanced solutions for patient care through using an all-inclusive management system that improves access, affordability, and adherence for the patient's experience.

Benefits*CSR's looking to grow - they are organically built and promote from withinAbility to be promoted into PES II and PES III after",2024-04-06,true
26,1762,Business Development Account Manager,"Novi, MI",,,Full-time,"Hello conections ,
I trust you are doing well!!
We have an urgent requirement, please go through the below and let me know your interest.
Position Title : Account Manager/ BDM (Business Development Manager)Duration : Full timeLocation : Atlanta, Georgia/Novi, Michigan/Charlotte, North Carolina
Roles and responsibilities:This position will report to corresponding VP of sales of the particular region.Majorly responsible for new business development and hunting new accounts and opportunities based ",2024-04-11,true
27,1825,"Clinical Manager - Med Surg, Surgical Oncology","Macon, GA",,,Full-time,"Description

RESPONSIBLE FOR: 

Administrative and operational responsibility for assigned departments, including management of cost and finance, human resources, operations, quality of care and clinical outcomes, patient/physician and staff satisfaction, change management and any other relevant responsibilities related to this position. Serves as part of the entity management team and Shared Governance Model focused on promoting the mission, vision and values, of PHC and Nursing Professional Pr",2024-04-19,true
28,1582,Strategy Manager,"Torrance, CA",124000.0,170000.0,Full-time,"Role DescriptionLead cross-functional teams in design of customer experience/journey to deliver compelling, easy to use digital products and services. Lead the business units in turning customer analytics to action by facilitating working sessionsPlan, design, and execute research that seeks to understand user needs, problems, and potential opportunities to enhance their experience. Incorporate insights from Analytics team and research to prioritize user needs, pain points, and investmentsSummar",2024-04-18,true
29,222,Financial Advisor,"Charleston County, SC",,,Full-time,"Our firm in Charleston, SC is seeking a highly motivated and driven individual to join our team as a Financial Advisor at Northwestern Mutual. As a Financial Advisor, you'll work collaboratively with other professionals to provide comprehensive and innovative financial planning services to clients. Responsibilities:Build and maintain long-term relationships with clients by providing financial planning servicesConduct client meetings to assess their financial needs, goals, and risk toleranceDevel",2024-04-18,true
30,672,Law Firm Administrator,"Asheville, NC",,,Full-time,"LHH is seeking a Law Firm Administrator for a direct hire position Asheville, NC! The ideal candidate has 3+ years of administrative experience supporting a law firm. This position is fully in office Monday - Friday. Responsibilities: Manage general bookkeeping and financial transactions. Oversee payroll processes and related compliance.Collaborate with attorneys and paralegals to track and report billable hours.Identify areas for financial improvement and present reports/projections.Lead recrui",2024-04-15,true
31,272,Retail Sales Associate - Self Serve,"Grand Prairie, TX",,,Part-time,"WHY WE WILL LOVE YOU 
 You care about making a positive impact in the world. You understand greatness requires thinking differently. An inclusive and accepting work environment is important to you.

A job at IKEA is so much more than home furnishings. Together, we work to make a better everyday life for the many. It's the perfect fit if you want to contribute, grow, and share your uniqueness. Join our team and start a better life for yourself. 
 
 WHAT YOU'LL BE DOING DAY TO DAY 
 Optimizing the",2024-04-16,true
32,115,Associate Director of Campus Safety,"Portland, Oregon Metropolitan Area",,,Full-time,"Position Summary:The Associate Director of Campus Safety provides supervision to the University’s Campus Safety officers and assists the Director with the oversight of the security systems, ID card services, parking, transportation, and university emergency response. This is done in accordance with all applicable University policies and procedures, as well as federal, state, and local laws and regulations.Duties and Responsibilities:Supervise campus safety officers at Willamette’s PNCA campus in",2024-04-18,true
33,121,Customer Service Representative 1 (Promo Roll),"Pennsylvania, United States",,,Full-time,"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every ",2024-04-18,true
34,2459,Education Budget Manager,"Annapolis, MD",58000.0,61000.0,Full-time,"The Chesapeake Bay Foundation seeks an Education Budget Manager in the Education Department to be based at the Philip Merrill Environmental Center located in Annapolis, MD. THE CHESAPEAKE BAY FOUNDATIONEstablished in 1966, the Chesapeake Bay Foundation (CBF) is the largest regional nonprofit conservation organization dedicated to saving the Chesapeake Bay, its rivers and streams, and the wildlife that call it home through education, advocacy, litigation, and restoration. Since 2010, CBF has enga",2024-04-09,true
35,795,Maintenance Engineering specialist,"Houston, TX",,,Full-time,"Maintenance Engineering SpecialistPosition Type: Direct HirePosition Location: Middle EastPosition Salary: Market Rate (Depending on Experience)
This position is in the Middle East and offers a generous compensation and benefits package. You must be willing to relocate to the Middle East.

The Maintenance Engineering Specialist is responsible for providing maintenance technical consultations, and maintenance organization through conducting selective maintenance assessment, turnaround assurance, ",2024-04-06,true
36,1808,"Manager, Conference Operations","Washington, DC",,,Full-time,"National Association of Manufacturers
Position Description
Job Title: Manager, Conference OperationsDivision: Finance and AdministrationDepartment: Conference and Office OperationsReports To: Senior Director, Conference OperationsFLSA Status/Level: Exempt/ProfessionalLocation: DC Headquarters

Position Overview:
The National Association of Manufacturers (NAM) is seeking a Manager, Conference Operations. This person is a key member of the Conferences Operations team. The position includes managin",2024-04-19,true
37,2310,Marketing Specialist - Membership Growth & Retention,United States,45000.0,50000.0,Full-time,"As Christianity Today’s (CT) Marketing Specialist – Membership Growth & Retention, you will play a pivotal role in driving subscriptions and paid membership growth for CT. The ideal candidate will have a passion for developing member-related marketing campaigns and experience with campaign development. Success in this role will lead to paid membership growth, increased member engagement, and great user experiences.
Functions and Responsibilities
1. Develop and implement marketing strategies for ",2024-04-18,true
38,580,ComEd - Maint Mech 0 Cert Fleet,"Lombard, IL",,,Full-time,"Description

Job Description

At Exelon, we've got a place for you!

Join the nation's leading competitive energy provider, with one of the largest electricity generation portfolios and retail customer bases in the country. You will be part of a family of companies that strives for the highest standards of power generation, competitive energy sales, and energy delivery. Our team of outstanding professionals is focused on performance, thought leadership, innovation, and the power of ideas that co",2024-04-05,true
39,567,Technician,"Plymouth, MI",,,Full-time,"Location: Plymouth, MI

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technol",2024-04-05,true
40,567,Heat Treat Operator,"Muskegon, MI",19.55,27.94,Full-time,"Location: Muskegon, MI

Hours: 2nd shift, Monday - Friday 3:15 pm - 11:30 pm

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings, made in Muskegon, played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join ",2024-04-05,true
41,580,Procurement Specialist,"Oakbrook Terrace, IL",,,Full-time,"Description

Job Description

We're powering a cleaner, brighter future.

Exelon is leading the energy transformation, and we're calling all problem solvers, innovators, community builders and change makers. Work with us to deliver solutions that make our diverse cities and communities stronger, healthier and more resilient.

We're powered by purpose-driven people like you who believe in being inclusive and creative, and value safety, innovation, integrity and community service. We are a Fortune",2024-04-05,true
42,567,Quality Engineer,"Lansdale, PA",,,Full-time,"Due to the nature of the business, candidate must be a US Citizen

Location: Hanover or Lansdale, PA

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will ",2024-04-05,true
43,567,Payroll & HRIS Administrator,"Blue Bell, PA",,,Full-time,"Payroll and HRIS Administrator

Location: Blue Bell, PA

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 cou",2024-04-05,true
44,567,Maintenance Tech 12A - 2nd Shift,"Sumter, SC",,,Full-time,"2nd Shift

Maintenance Technician 

Location: Sumter, SC

Shift: 2nd (3PM - 11PM)

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleag",2024-04-05,true
45,567,Manufacturing Engineer,"Dexter, MI",,,Full-time,"Location: Dexter, MI

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technolog",2024-04-05,true
46,567,Accounts Receivable Analyst,"Blue Bell, PA",,,Full-time,"Location: Blue Bell, PA

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing techno",2024-04-05,true
47,567,Regional Technical Specialist,"Cincinnati, OH",,,Contract,"Region: Pittsburgh, PA; Central Ohio, Indiana, and Kentucky

Full Time Permanent Position

Hybrid Remote

Opportunity for Travel

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings, made in Muskegon, played an integral role in helping Mars Rover collect rock and regolith samples on the plan",2024-04-05,true
48,567,Machining - Grinding Specialist,"Muskegon, MI",,,Full-time,"Machine Grinding Specialist

Location: Muskegon, MI

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countri",2024-04-05,true
49,567,CNC Machine Operator 3rd shift,"Hanover, PA",,,Full-time,"CNC Machine Operator - 3rd shift

Location: Hanover, PA

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 cou",2024-04-05,true
50,567,Maintenance Technician,"Ladson, SC",,,Full-time,"Location: Ladson, SC

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technolog",2024-04-05,true
51,567,Machine Operator,"Dexter, MI",,,Full-time,"Location: Dexter, MI

About SKF

SKF has been making the world spin since 1907!

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technology",2024-04-05,true
52,567,Seal Product Design Engineer,"Elgin, IL",,,Full-time,"Location: Elgin, IL

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technology",2024-04-05,true
53,567,Manufacturing Systems Coordinator,"Sumter, SC",,,Full-time,"Factory Digital Coordinator

Location: Sumter, SC

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings, made in Muskegon, played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more",2024-04-05,true
54,567,Assistant Controller,"Winsted, CT",,,Full-time,"Location: Winsted, CT

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technolo",2024-04-05,true
55,567,Application Engineer,"Falconer, NY",84000.0,101000.0,Full-time,"Location: Flexible: Falconer, NY, Lansdale, PA or Plymouth, MI all will be considered

Salary Range: $84,000 - $101,000

About SKF

SKF has been making the world spin since 1907!

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team",2024-04-05,true
56,567,Heat Treat Manager,"Falconer, NY",,,Full-time,"Location: Falconer, NY

Salary Range: $101,000-121,000

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 coun",2024-04-05,true
57,567,Demand Planner,"Lansdale, PA",,,Full-time,"Location: Blue Bell, PA

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing techno",2024-04-05,true
58,567,CNC Machinist,"Dexter, MI",,,Full-time,"Location: Dexter, MI

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 colleagues from more than 130 countries developing bearing technolog",2024-04-05,true
59,567,Manufacturing Engineering Manager,"St Louis, MO",,,Full-time,"Location: St. Louis, MO

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

The SKF Lubrication Business Unit, headquartered in St. Louis, is a leader in the design, manufacture, and su",2024-04-05,true
60,567,CH 18 Machine Operator - 2nd Shift,"Sumter, SC",,,Full-time,"Machine Operator

2nd Shift

Location: Sumter, SC

Hours: Monday - Friday 3pm - 11pm

About SKF

SKF has been making the world spin since 1907! 

SKF is an industry-leading manufacturer dedicated to a culture of belonging, where our people flourish in an equitable environment that promotes leadership development and career growth. SKF bearings played an integral role in helping Mars Rover collect rock and regolith samples on the planet’s surface.

As an SKF team member, you will join 40,000 coll",2024-04-05,true
61,2923,"Director, Finance Business Systems","Cleveland, OH",,,Full-time,"Position Summary:The Jewish Federation of Cleveland is embarking on its first multi-year transformation of their financial business systems. To help ensure the success of this transformation, the Federation has created this new position – Director, Finance Business Systems – to support the design, migration, and change enablement efforts; as well as the ongoing management of the technology stack that powers our robust financial operations. The person in this position will work collaboratively wi",2024-04-05,true
62,1389,Environmental Engineer,"Houston, TX",,,Full-time,"The successful candidate will meet the following qualifications: • A minimum of a Bachelor's degree in Engineering or related field is required.  • PE or EIT is desirable.  • 5-10 years of midstream oil and gas, petrochemical or refinery air permitting experience is preferred. This includes a working knowledge of equipment similar to assets found in operations such as chemical manufacturing and/or gas processing facilities, natural gas liquids fractionation, pipelines (gas, liquids. natural gas ",2024-04-05,true
63,1746,Mutual Fund Financial Reporting Analyst,"Boston, MA",,,Full-time,"The Mutual Fund Financial Reporting Associate will be responsible for the overall management, staffing, organization and development of a team. He/she will be responsible for identifying complex fund issues and managing the delivery of services to clients, including meeting all regulatory deadlines.

RESPONSIBILITIESBuild and maintain effective working relationships with internal team members, as well as with other teamsBuild effective working relationship with clientReview and deliver client-sp",2024-04-05,true
64,1975,Store Manager,"Milledgeville, GA",72000.0,100000.0,Full-time,"The ideal candidate has a passion for food and beverage, a genuine ability to connect with guests and staff alike, and brings the core value of 'TEAM' to the restaurant. A natural leader, you are responsible for maintaining the highest levels of hospitality while leading service on the floor.  ResponsibilitiesSupervise day-to-day activities and assist in the food and beverage outlets Create innovative programs and promotions that drive revenue through increased guest patronage Aid in all financi",2024-04-05,true
65,1602,Billing Specialist,"Hartford County, CT",23.0,28.0,Full-time,"Calling all Billing Specialists with construction industry experience!!!! Ledgent is partnering with our client near Plainville, CT to hire an experienced Billing Specialist to join their growing them. This is a temp-to-hire opportunity, fully on-site, paying between $23-28/hourly depending on experience. We are looking for individuals who are comfortable with high-volume, fast-paced environments! Responsibilities:High-volume corporate billing with emphasis on AIA/Contract formatCollections on d",2024-04-05,true
66,1093,Real Estate Office Assistant,"Malibu, CA",,,Part-time,"Job titleOffice Assistant for Luxury Real Estate Agent
Position typeJob
Job descriptionThe ideal candidate will be responsible for providing administrative support to ensure efficient operation of the office and transactions. From scheduling client meetings to communicating between departments, you will be responsible for completing multi-level tasks in a professional and timely manner. A great way to gain experience in a client-facing industry. Please note the list of responsibilities is not ex",2024-04-05,true
