job_skill_id,job_id,skill_id,requirement_level
125,113,25,Preferred
126,135,35,Nice-to-have
127,135,6,Preferred
128,135,16,Preferred
129,232,26,Required
130,232,17,Nice-to-have
131,232,16,Nice-to-have
132,3340,24,Required
133,3340,34,Preferred
134,126,32,Preferred
135,54,31,Nice-to-have
136,54,19,Nice-to-have
137,52,22,Preferred
138,52,25,Nice-to-have
139,3318,25,Nice-to-have
140,68,34,Preferred
141,68,24,Required
142,109,32,Preferred
143,3354,25,Required
144,101,35,Nice-to-have
145,101,33,Required
146,228,19,Required
147,228,12,Preferred
148,3330,19,Nice-to-have
149,3330,34,Required
150,3353,28,Nice-to-have
151,3353,34,Required
152,3372,32,Preferred
153,152,22,Required
154,152,33,Preferred
155,1218,19,Required
156,1218,34,Nice-to-have
157,197,20,Required
158,40,35,Required
159,40,33,Required
160,42,23,Preferred
161,88,25,Nice-to-have
162,88,8,Nice-to-have
163,1219,13,Preferred
164,3332,26,Required
165,86,23,Preferred
166,229,8,Nice-to-have
167,229,24,Nice-to-have
168,229,18,Nice-to-have
169,93,34,Preferred
170,93,24,Preferred
171,112,25,Required
172,1233,19,Preferred
173,1233,14,Required
174,57,35,Preferred
175,57,33,Preferred
176,1217,34,Required
177,1217,24,Required
178,114,6,Preferred
179,114,7,Preferred
180,1306,22,Required
181,1306,25,Nice-to-have
182,3337,28,Nice-to-have
183,3337,29,Preferred
184,3337,30,Nice-to-have
185,1229,13,Preferred
186,3324,4,Nice-to-have
187,1312,13,Required
188,1264,26,Preferred
189,139,6,Preferred
190,139,7,Required
191,1357,22,Required
192,1357,25,Nice-to-have
193,1310,35,Required
194,1310,33,Preferred
195,141,22,Nice-to-have
196,97,19,Required
197,97,31,Required
198,200,8,Nice-to-have
199,3356,34,Nice-to-have
200,92,25,Preferred
201,3377,20,Preferred
202,1288,13,Required
203,1282,22,Preferred
204,1282,25,Preferred
205,3457,34,Nice-to-have
206,3457,24,Preferred
207,1238,34,Nice-to-have
208,3480,35,Preferred
209,3480,33,Preferred
210,1224,9,Required
211,1224,21,Preferred
212,3335,26,Preferred
213,3335,20,Required
214,1234,26,Required
215,169,31,Required
216,169,19,Required
217,1232,20,Nice-to-have
218,237,19,Preferred
219,230,13,Required
220,3456,35,Preferred
221,3456,33,Preferred
222,1240,25,Preferred
223,3374,31,Nice-to-have
224,3374,19,Nice-to-have
225,3367,28,Required
226,3367,30,Required
227,3367,29,Preferred
228,1289,13,Required
229,191,34,Preferred
230,191,19,Nice-to-have
231,191,24,Required
232,3482,34,Nice-to-have
233,3482,24,Required
234,234,13,Required
235,1360,25,Preferred
236,1393,20,Preferred
237,1371,20,Preferred
238,236,34,Nice-to-have
239,236,24,Nice-to-have
240,155,35,Nice-to-have
241,155,33,Preferred
242,1291,35,Preferred
243,1291,33,Preferred
244,3333,32,Required
245,3428,34,Preferred
246,3428,24,Preferred
247,143,23,Required
248,143,22,Required
249,3348,34,Nice-to-have
250,3423,35,Nice-to-have
251,3423,33,Nice-to-have
252,1394,20,Preferred
253,3437,34,Nice-to-have
254,3437,24,Required
255,3483,35,Preferred
256,3483,33,Nice-to-have
257,3319,34,Required
258,3319,24,Preferred
259,80,34,Required
260,77,26,Nice-to-have
261,43,25,Preferred
262,3419,35,Required
263,3419,33,Required
264,3479,35,Required
265,3479,33,Nice-to-have
266,3430,35,Nice-to-have
267,3430,33,Preferred
268,1228,24,Preferred
269,1228,28,Preferred
270,1228,4,Nice-to-have
271,90,35,Required
272,3485,35,Preferred
273,3485,33,Required
274,1309,26,Required
275,1309,20,Preferred
276,3321,20,Preferred
277,3494,35,Preferred
278,1352,19,Preferred
279,1352,34,Nice-to-have
280,167,34,Preferred
281,167,24,Nice-to-have
282,1354,25,Nice-to-have
283,1257,20,Preferred
284,3407,34,Nice-to-have
285,3407,24,Required
286,1384,20,Required
287,142,20,Nice-to-have
288,3429,34,Nice-to-have
289,3429,24,Required
290,3323,35,Required
291,3370,28,Preferred
292,3370,34,Nice-to-have
293,1397,19,Required
294,1397,34,Nice-to-have
295,3468,34,Preferred
296,3468,24,Preferred
297,1332,20,Preferred
298,1251,13,Preferred
299,3470,35,Nice-to-have
300,3470,33,Nice-to-have
301,1387,25,Preferred
302,1349,28,Required
303,1349,29,Preferred
304,1349,30,Preferred
305,3347,28,Preferred
306,3347,34,Nice-to-have
307,84,35,Preferred
308,84,33,Preferred
309,1411,22,Nice-to-have
310,1411,25,Required
311,1315,14,Required
312,1315,12,Nice-to-have
313,1315,25,Nice-to-have
314,1364,13,Nice-to-have
315,1334,34,Required
316,1334,24,Required
317,1300,26,Preferred
318,3416,35,Preferred
319,3416,33,Required
320,73,8,Nice-to-have
321,1293,20,Preferred
322,3364,34,Required
323,1280,22,Required
324,1280,25,Required
325,1417,28,Preferred
326,1417,29,Nice-to-have
327,1417,30,Required
328,350,21,Required
329,1308,27,Required
330,1308,33,Preferred
331,168,31,Required
332,1373,35,Preferred
333,1373,33,Nice-to-have
334,1410,35,Required
335,1410,33,Nice-to-have
336,3388,34,Nice-to-have
337,1290,19,Nice-to-have
338,1290,34,Preferred
339,69,21,Nice-to-have
340,3440,35,Nice-to-have
341,3440,33,Preferred
342,1294,20,Preferred
343,1413,22,Preferred
344,1413,25,Required
345,3392,35,Nice-to-have
346,3392,33,Required
347,3387,34,Preferred
348,3387,24,Required
349,1415,22,Preferred
350,1415,25,Nice-to-have
351,3339,22,Required
352,1428,6,Required
353,1428,7,Preferred
354,203,26,Nice-to-have
355,1420,25,Preferred
356,79,6,Preferred
357,79,7,Nice-to-have
358,1333,25,Preferred
359,3426,13,Preferred
360,313,28,Preferred
361,3900,2,Preferred
362,3900,1,Required
363,195,35,Nice-to-have
364,195,33,Preferred
365,3376,28,Required
366,3376,34,Required
367,3902,20,Preferred
368,1409,22,Nice-to-have
369,1409,25,Nice-to-have
370,209,25,Nice-to-have
371,209,19,Required
372,209,4,Required
373,3404,35,Preferred
374,3404,33,Preferred
375,3442,34,Preferred
376,3442,24,Required
377,3488,34,Preferred
378,190,21,Preferred
379,1385,9,Required
380,1385,25,Preferred
381,1385,34,Required
382,3373,28,Required
383,3373,34,Preferred
384,3895,35,Preferred
385,3895,33,Required
386,75,20,Nice-to-have
387,3499,23,Nice-to-have
388,1255,22,Preferred
389,1255,25,Preferred
390,1367,8,Required
391,1367,25,Nice-to-have
392,3484,35,Required
393,3484,33,Required
394,1406,19,Nice-to-have
395,1406,34,Required
396,1499,28,Required
397,1381,25,Preferred
398,95,35,Required
399,95,33,Preferred
400,259,8,Required
401,259,35,Preferred
402,3901,20,Required
403,162,22,Nice-to-have
404,162,25,Required
405,3502,21,Preferred
406,3438,34,Nice-to-have
407,3438,24,Nice-to-have
408,137,6,Required
409,137,7,Nice-to-have
410,1376,33,Preferred
411,119,6,Required
412,119,7,Required
413,286,26,Nice-to-have
414,1260,22,Required
415,1260,25,Nice-to-have
416,3384,34,Nice-to-have
417,3384,24,Preferred
418,1247,22,Preferred
419,1247,25,Required
420,312,22,Preferred
421,312,2,Preferred
422,312,27,Preferred
423,3414,34,Required
424,3414,24,Preferred
425,1231,32,Nice-to-have
426,1298,22,Preferred
427,1298,25,Required
428,1377,35,Required
429,1377,33,Required
430,1285,17,Nice-to-have
431,171,35,Required
432,171,33,Nice-to-have
433,238,2,Preferred
434,238,1,Nice-to-have
435,238,25,Preferred
436,1302,8,Required
437,1302,25,Preferred
438,1339,35,Required
439,1339,33,Required
440,3355,31,Preferred
441,3355,19,Required
442,1359,22,Nice-to-have
443,1359,25,Preferred
444,3896,22,Nice-to-have
445,3896,25,Preferred
446,13,26,Required
447,1281,35,Preferred
448,1281,33,Nice-to-have
449,3378,35,Preferred
450,3378,33,Preferred
451,3936,13,Nice-to-have
452,3397,20,Preferred
453,3385,35,Required
454,3385,33,Preferred
455,1331,35,Nice-to-have
456,1331,33,Preferred
457,3529,34,Preferred
458,3529,24,Nice-to-have
459,1379,22,Required
460,1379,25,Required
461,1422,22,Preferred
462,1422,25,Required
463,235,34,Preferred
464,235,24,Preferred
465,3474,8,Nice-to-have
466,3474,25,Required
467,180,25,Nice-to-have
468,180,20,Required
469,180,22,Preferred
470,349,22,Preferred
471,349,25,Required
472,3361,34,Preferred
473,3361,24,Nice-to-have
474,3411,31,Required
475,1340,22,Required
476,1340,25,Preferred
477,3389,35,Preferred
478,3389,33,Required
479,3418,35,Required
480,3418,33,Required
481,1295,20,Nice-to-have
482,3425,13,Required
483,105,25,Preferred
484,3473,13,Required
485,3511,15,Required
486,3511,9,Required
487,3449,35,Nice-to-have
488,3449,33,Nice-to-have
489,132,35,Nice-to-have
490,3390,35,Nice-to-have
491,3390,33,Nice-to-have
492,3500,35,Preferred
493,3500,33,Preferred
494,3535,34,Required
495,3535,24,Required
496,3454,34,Nice-to-have
497,3454,24,Nice-to-have
498,3486,34,Required
499,3486,17,Preferred
500,1246,22,Nice-to-have
501,1246,25,Required
502,1350,22,Required
503,1350,25,Required
504,71,20,Required
505,1297,20,Nice-to-have
506,262,25,Required
507,3923,19,Required
508,3923,34,Nice-to-have
509,1277,22,Required
510,1277,25,Required
511,1296,20,Nice-to-have
512,3997,19,Nice-to-have
513,3997,34,Required
514,322,35,Required
515,322,33,Preferred
516,3464,34,Preferred
517,3464,24,Nice-to-have
518,3913,20,Nice-to-have
519,3459,13,Nice-to-have
520,3471,10,Required
521,3398,22,Nice-to-have
522,3398,25,Required
523,3427,35,Nice-to-have
524,3427,33,Required
525,3938,34,Preferred
526,3938,24,Required
527,3944,2,Required
528,3944,1,Preferred
529,3944,25,Nice-to-have
530,14,26,Preferred
531,239,26,Required
532,239,21,Preferred
533,319,25,Required
534,319,26,Nice-to-have
535,288,22,Required
536,288,25,Required
537,1451,31,Preferred
538,206,6,Required
539,206,34,Required
540,206,17,Preferred
541,3368,34,Nice-to-have
542,3368,24,Required
543,1407,20,Required
544,3984,16,Required
545,3984,22,Nice-to-have
546,3959,20,Required
547,1405,35,Preferred
548,1405,33,Nice-to-have
549,1392,22,Nice-to-have
550,1392,25,Required
551,138,6,Required
552,138,7,Required
553,4049,20,Required
554,3338,19,Nice-to-have
555,3338,34,Required
556,327,13,Required
557,3399,34,Nice-to-have
558,3399,24,Preferred
559,3349,35,Preferred
560,3349,33,Preferred
561,290,19,Nice-to-have
562,290,34,Nice-to-have
563,104,35,Preferred
564,104,33,Nice-to-have
565,3932,20,Required
566,3509,35,Nice-to-have
567,3509,33,Required
568,3505,22,Required
569,3505,25,Preferred
570,3911,16,Nice-to-have
571,3911,22,Preferred
572,1408,16,Nice-to-have
573,1408,26,Preferred
574,1408,17,Nice-to-have
575,352,26,Required
576,352,17,Required
577,352,8,Nice-to-have
578,3344,28,Nice-to-have
579,3344,34,Nice-to-have
580,3918,20,Nice-to-have
581,202,35,Nice-to-have
582,202,21,Nice-to-have
583,449,21,Preferred
584,449,29,Required
585,449,20,Preferred
586,1265,35,Nice-to-have
587,1265,33,Required
588,1453,34,Nice-to-have
589,1453,24,Preferred
590,1453,9,Preferred
591,3451,34,Preferred
592,3451,24,Nice-to-have
593,1497,22,Required
594,1497,25,Preferred
595,3968,20,Required
596,1435,35,Nice-to-have
597,1435,33,Nice-to-have
598,184,13,Preferred
599,182,25,Required
600,1427,31,Required
601,1427,19,Nice-to-have
602,4031,25,Nice-to-have
603,1351,22,Required
604,1351,25,Preferred
605,294,13,Preferred
606,1395,20,Preferred
607,199,20,Nice-to-have
608,210,22,Nice-to-have
609,210,25,Required
610,411,13,Required
611,1437,20,Nice-to-have
612,1437,25,Preferred
613,1437,35,Required
614,1508,22,Preferred
615,1508,25,Required
616,361,13,Required
617,3420,34,Preferred
618,3420,24,Required
619,1314,20,Preferred
620,3515,13,Required
621,3415,34,Preferred
622,3415,24,Nice-to-have
623,484,22,Required
624,1515,20,Required
625,4061,32,Required
626,1402,28,Nice-to-have
627,1402,34,Required
628,371,14,Required
629,371,30,Nice-to-have
630,3941,8,Nice-to-have
631,3941,25,Nice-to-have
632,1450,6,Preferred
633,1450,7,Required
634,47,25,Required
635,1400,25,Nice-to-have
636,1476,24,Nice-to-have
637,1476,34,Preferred
638,3942,20,Required
639,179,35,Required
640,179,33,Preferred
641,3498,8,Nice-to-have
642,3498,25,Nice-to-have
643,3953,24,Required
644,3953,34,Nice-to-have
645,221,13,Required
646,244,25,Preferred
647,1487,13,Nice-to-have
648,3992,4,Nice-to-have
649,353,35,Required
650,3996,20,Preferred
651,144,31,Required
652,1324,28,Nice-to-have
653,1324,34,Required
654,1274,22,Nice-to-have
655,1274,25,Preferred
656,1458,22,Preferred
657,1458,25,Nice-to-have
658,1348,31,Preferred
659,1348,19,Required
660,4060,20,Preferred
661,177,13,Nice-to-have
662,1431,22,Preferred
663,1431,25,Nice-to-have
664,3919,20,Required
665,242,23,Required
666,1390,34,Required
667,1390,24,Preferred
668,4015,35,Preferred
669,3963,24,Preferred
670,3963,34,Preferred
671,360,13,Preferred
672,3435,24,Nice-to-have
673,3435,34,Nice-to-have
674,1461,22,Required
675,1461,25,Preferred
676,116,25,Nice-to-have
677,1365,35,Nice-to-have
678,1365,33,Nice-to-have
679,351,34,Nice-to-have
680,351,24,Preferred
681,76,35,Required
682,76,33,Nice-to-have
683,362,13,Preferred
684,284,25,Preferred
685,3481,34,Nice-to-have
686,3481,24,Preferred
687,249,35,Required
688,249,33,Preferred
689,4068,15,Nice-to-have
690,4068,35,Required
691,324,13,Preferred
692,3369,35,Nice-to-have
693,3369,33,Nice-to-have
694,400,26,Required
695,420,2,Preferred
696,420,25,Required
697,1416,25,Required
698,3447,25,Nice-to-have
699,3447,35,Required
700,3447,8,Required
701,150,22,Preferred
702,150,25,Preferred
703,150,33,Preferred
704,370,25,Preferred
705,3926,35,Nice-to-have
706,1455,35,Nice-to-have
707,1455,33,Preferred
708,3497,34,Nice-to-have
709,3497,24,Required
710,3969,13,Preferred
711,1468,35,Preferred
712,1468,33,Preferred
713,3460,28,Required
714,3460,29,Required
715,3460,30,Required
716,3472,24,Nice-to-have
717,3472,34,Nice-to-have
718,1353,19,Required
719,1353,34,Required
720,4064,35,Required
721,4013,35,Required
722,4013,33,Required
723,217,13,Required
724,1522,20,Required
725,271,34,Required
726,271,24,Nice-to-have
727,176,30,Required
728,1512,22,Nice-to-have
729,1512,25,Nice-to-have
730,1250,20,Required
731,385,34,Nice-to-have
732,1323,22,Nice-to-have
733,1323,25,Preferred
734,441,9,Required
735,441,34,Preferred
736,441,24,Required
737,291,13,Nice-to-have
738,214,10,Nice-to-have
739,214,11,Required
740,4148,31,Preferred
741,4148,19,Preferred
742,263,25,Required
743,1469,13,Required
744,1489,14,Nice-to-have
745,1489,12,Required
746,1489,25,Preferred
747,3514,26,Nice-to-have
748,4026,22,Nice-to-have
749,4026,25,Required
750,1327,13,Nice-to-have
751,1287,27,Required
752,1287,33,Nice-to-have
753,3400,35,Required
754,3400,33,Required
755,274,26,Required
756,154,6,Preferred
757,154,7,Nice-to-have
758,387,13,Required
759,387,20,Required
760,1258,22,Required
761,1258,25,Required
762,3906,13,Required
763,175,25,Nice-to-have
764,272,31,Preferred
765,272,35,Required
766,306,35,Nice-to-have
767,306,33,Required
768,302,22,Nice-to-have
769,302,33,Preferred
770,94,6,Preferred
771,94,7,Preferred
772,3538,34,Preferred
773,3538,24,Preferred
774,3533,25,Required
775,3974,35,Preferred
776,3974,33,Required
777,98,20,Required
778,1436,13,Required
779,3520,35,Preferred
780,3520,33,Required
781,334,30,Preferred
782,334,26,Required
783,3978,20,Preferred
784,223,13,Preferred
785,1375,22,Nice-to-have
786,1375,25,Nice-to-have
787,4092,20,Nice-to-have
788,4112,35,Required
789,4112,33,Required
790,3351,35,Required
791,3351,33,Nice-to-have
792,3524,22,Nice-to-have
793,3524,25,Nice-to-have
794,1444,8,Required
795,1444,1,Required
796,1444,2,Required
797,340,20,Preferred
798,429,13,Preferred
799,1531,21,Nice-to-have
800,3357,28,Preferred
801,3357,34,Nice-to-have
802,301,35,Nice-to-have
803,301,33,Preferred
804,4132,25,Required
805,1248,35,Nice-to-have
806,1248,33,Preferred
807,4150,13,Required
808,3973,35,Required
809,3973,33,Preferred
810,1446,22,Preferred
811,1446,25,Nice-to-have
812,4040,20,Nice-to-have
813,1475,13,Nice-to-have
814,1432,13,Preferred
815,213,31,Required
816,213,19,Nice-to-have
817,211,34,Required
818,211,24,Preferred
819,4152,25,Required
820,4058,22,Nice-to-have
821,4058,25,Preferred
822,1223,13,Required
823,287,22,Nice-to-have
824,366,31,Nice-to-have
825,3934,13,Required
826,440,23,Required
827,1242,35,Nice-to-have
828,1242,33,Required
829,3466,35,Nice-to-have
830,3466,33,Preferred
831,4141,35,Nice-to-have
832,4141,33,Nice-to-have
833,3989,20,Preferred
834,1440,34,Preferred
835,1440,35,Required
836,3994,20,Preferred
837,3352,4,Nice-to-have
838,3352,28,Nice-to-have
839,4122,14,Required
840,4122,12,Nice-to-have
841,4122,25,Preferred
842,3487,14,Nice-to-have
843,3487,12,Nice-to-have
844,3487,25,Preferred
845,3501,32,Preferred
846,427,20,Required
847,455,16,Nice-to-have
848,455,35,Preferred
849,455,24,Required
850,4050,14,Preferred
851,4050,12,Preferred
852,4050,25,Required
853,1398,22,Nice-to-have
854,1398,25,Required
855,1513,25,Required
856,3406,35,Required
857,3406,33,Preferred
858,1538,21,Required
859,204,4,Required
860,3912,8,Nice-to-have
861,3912,25,Required
862,3394,28,Nice-to-have
863,456,35,Required
864,456,33,Required
865,207,12,Preferred
866,207,25,Preferred
867,207,14,Required
868,472,22,Nice-to-have
869,472,25,Required
870,1391,22,Nice-to-have
871,1391,25,Preferred
872,4024,25,Preferred
873,528,20,Required
874,409,13,Preferred
875,1490,20,Required
876,3512,14,Nice-to-have
877,3512,12,Preferred
878,3512,25,Nice-to-have
879,392,34,Preferred
880,392,24,Preferred
881,1480,24,Nice-to-have
882,1480,34,Required
883,3433,14,Required
884,3433,12,Preferred
885,3433,25,Preferred
886,3995,20,Nice-to-have
887,426,35,Required
888,426,33,Required
889,388,20,Nice-to-have
890,3976,20,Nice-to-have
891,3477,35,Required
892,3477,33,Required
893,457,8,Nice-to-have
894,457,25,Nice-to-have
895,416,14,Required
896,416,12,Preferred
897,416,25,Preferred
898,4159,22,Preferred
899,4159,25,Preferred
900,1557,11,Nice-to-have
901,345,20,Nice-to-have
902,3336,23,Required
903,280,34,Nice-to-have
904,280,24,Required
905,4121,31,Preferred
906,4121,19,Preferred
907,504,28,Preferred
908,1486,32,Nice-to-have
909,3493,13,Preferred
910,3444,35,Nice-to-have
911,3444,33,Nice-to-have
912,4082,17,Required
913,479,32,Preferred
914,474,31,Nice-to-have
915,474,19,Nice-to-have
916,404,25,Required
917,1485,22,Required
918,1485,25,Nice-to-have
919,3955,13,Nice-to-have
920,3467,35,Nice-to-have
921,3467,33,Preferred
922,372,25,Required
923,3910,20,Required
924,359,22,Required
925,359,25,Nice-to-have
926,1516,22,Nice-to-have
927,398,35,Required
928,398,33,Nice-to-have
929,3930,20,Required
930,225,19,Required
931,225,34,Preferred
932,225,31,Required
933,277,32,Preferred
934,158,27,Nice-to-have
935,158,26,Nice-to-have
936,158,20,Nice-to-have
937,3986,35,Preferred
938,3986,33,Nice-to-have
939,1388,9,Preferred
940,1388,25,Required
941,1388,34,Preferred
942,1345,20,Preferred
943,4052,19,Preferred
944,4052,34,Required
945,265,20,Required
946,243,22,Required
947,243,25,Nice-to-have
948,4094,16,Required
949,1507,20,Nice-to-have
950,3943,20,Required
951,3516,35,Required
952,3516,33,Required
953,1272,20,Required
954,390,13,Preferred
955,1434,34,Preferred
956,1434,24,Nice-to-have
957,4076,24,Preferred
958,341,14,Nice-to-have
959,341,12,Preferred
960,341,25,Required
961,514,24,Nice-to-have
962,514,34,Required
963,435,28,Preferred
964,435,34,Required
965,367,20,Preferred
966,425,35,Required
967,425,33,Nice-to-have
968,4046,19,Required
969,4046,31,Preferred
970,1599,20,Nice-to-have
971,1599,33,Required
972,1501,22,Preferred
973,1501,25,Preferred
974,1477,35,Required
975,1477,33,Nice-to-have
976,332,31,Nice-to-have
977,314,26,Preferred
978,3465,34,Nice-to-have
979,3465,24,Preferred
980,1256,2,Nice-to-have
981,1429,2,Required
982,1429,1,Preferred
983,1429,25,Required
984,4093,33,Nice-to-have
985,4187,25,Nice-to-have
986,3410,20,Required
987,245,35,Required
988,245,33,Preferred
989,1424,25,Nice-to-have
990,343,28,Nice-to-have
991,311,25,Preferred
992,1578,1,Nice-to-have
993,1578,2,Nice-to-have
994,4014,2,Nice-to-have
995,4014,1,Preferred
996,4014,25,Preferred
997,464,34,Preferred
998,464,24,Preferred
999,518,11,Nice-to-have
1000,1478,22,Required
1001,1478,25,Required
1002,99,13,Nice-to-have
1003,4034,13,Nice-to-have
1004,486,35,Required
1005,486,33,Preferred
1006,1425,32,Preferred
1007,1425,35,Nice-to-have
1008,4117,35,Nice-to-have
1009,4117,33,Required
1010,3365,35,Preferred
1011,3365,33,Required
1012,1571,8,Nice-to-have
1013,1571,35,Nice-to-have
1014,1571,4,Nice-to-have
1015,4069,31,Nice-to-have
1016,4069,19,Nice-to-have
1017,406,20,Required
1018,4043,19,Nice-to-have
1019,4043,34,Preferred
1020,4138,22,Preferred
1021,4138,25,Nice-to-have
1022,1313,35,Required
1023,1313,33,Required
1024,78,24,Required
1025,78,34,Required
1026,4037,20,Nice-to-have
1027,1466,28,Required
1028,4140,28,Nice-to-have
1029,4140,29,Preferred
1030,4140,30,Required
1031,1303,13,Required
1032,1275,13,Required
1033,3937,13,Required
1034,1328,22,Preferred
1035,1328,25,Nice-to-have
1036,3476,13,Preferred
1037,614,25,Preferred
1038,183,23,Preferred
1039,4065,22,Nice-to-have
1040,4065,15,Preferred
1041,4065,35,Preferred
1042,536,31,Nice-to-have
1043,3495,13,Preferred
1044,1317,35,Required
1045,1317,33,Preferred
1046,4130,35,Required
1047,4130,33,Nice-to-have
1048,1430,22,Nice-to-have
1049,1430,25,Preferred
1050,1449,21,Required
1051,4045,13,Nice-to-have
1052,376,34,Nice-to-have
1053,376,24,Preferred
1054,3964,20,Nice-to-have
1055,1504,34,Nice-to-have
1056,1504,24,Required
1057,445,22,Preferred
1058,1555,33,Preferred
1059,1555,20,Required
1060,268,13,Preferred
1061,1608,35,Preferred
1062,1608,5,Nice-to-have
1063,1608,11,Nice-to-have
1064,347,35,Nice-to-have
1065,347,33,Required
1066,254,13,Preferred
1067,3362,35,Required
1068,3362,33,Required
1069,4085,35,Nice-to-have
1070,4085,33,Preferred
1071,1307,22,Nice-to-have
1072,1307,25,Nice-to-have
1073,4144,35,Nice-to-have
1074,4144,33,Preferred
1075,545,25,Nice-to-have
1076,257,34,Preferred
1077,257,24,Required
1078,201,22,Nice-to-have
1079,201,25,Preferred
1080,1368,6,Preferred
1081,1368,7,Required
1082,541,26,Nice-to-have
1083,541,8,Required
1084,541,30,Nice-to-have
1085,318,26,Preferred
1086,318,4,Nice-to-have
1087,1382,20,Required
1088,181,35,Preferred
1089,181,33,Required
1090,344,25,Required
1091,299,14,Required
1092,299,12,Required
1093,299,25,Required
1094,1481,26,Nice-to-have
1095,108,20,Required
1096,1261,35,Preferred
1097,1261,33,Preferred
1098,1607,8,Nice-to-have
1099,1607,25,Nice-to-have
1100,1607,4,Preferred
1101,537,8,Preferred
1102,537,25,Nice-to-have
1103,1301,25,Preferred
1104,1519,9,Nice-to-have
1105,1519,25,Preferred
1106,1519,34,Preferred
1107,3345,34,Required
1108,3345,24,Nice-to-have
1109,355,25,Nice-to-have
1110,3952,35,Nice-to-have
1111,3952,33,Preferred
1112,337,35,Required
1113,337,33,Required
1114,3988,20,Nice-to-have
1115,529,25,Required
1116,1494,8,Nice-to-have
1117,1494,25,Nice-to-have
1118,1553,19,Required
1119,1553,25,Nice-to-have
1120,1553,31,Preferred
1121,4114,31,Preferred
1122,4114,19,Required
1123,1414,2,Preferred
1124,1414,1,Preferred
1125,1414,25,Required
1126,246,32,Preferred
1127,523,20,Required
1128,408,13,Required
1129,381,35,Required
1130,381,33,Nice-to-have
1131,413,13,Preferred
1132,394,31,Preferred
1133,394,19,Preferred
1134,4075,35,Required
1135,4075,11,Preferred
1136,4075,5,Nice-to-have
1137,308,28,Preferred
1138,308,34,Preferred
1139,3375,28,Nice-to-have
1140,3375,34,Nice-to-have
1141,547,13,Required
1142,393,31,Required
1143,393,19,Preferred
1144,3915,35,Nice-to-have
1145,3915,33,Required
1146,192,25,Preferred
1147,192,12,Nice-to-have
1148,1378,19,Nice-to-have
1149,1378,34,Nice-to-have
1150,495,35,Required
1151,495,33,Nice-to-have
1152,222,13,Required
1153,186,13,Required
1154,422,34,Required
1155,422,24,Preferred
1156,453,34,Required
1157,453,28,Nice-to-have
1158,1613,8,Preferred
1159,1613,35,Preferred
1160,1613,4,Nice-to-have
